annee;categorie;discipline;participants;femmes;hommes;poids_une_personne_pct
2017;U10;slalom;8;1;7;12.5
2017;U10;tricks;7;1;6;14.3
2017;U10;jump;5;0;5;20.0
2017;U12;slalom;6;2;4;16.7
2017;U12;tricks;5;2;3;20.0
2017;U12;jump;2;0;2;50.0
2017;U14;slalom;13;6;7;7.7
2017;U14;tricks;9;4;5;11.1
2017;U14;jump;9;4;5;11.1
2017;U17;slalom;21;6;15;4.8
2017;U17;tricks;13;5;8;7.7
2017;U17;jump;11;3;8;9.1
2017;OPEN;slalom;25;13;12;4.0
2017;OPEN;tricks;15;8;7;6.7
2017;OPEN;jump;11;6;5;9.1
2017;35+;slalom;6;1;5;16.7
2017;35+;tricks;4;1;3;25.0
2017;35+;jump;3;1;2;33.3
2017;45+;slalom;11;3;8;9.1
2017;45+;tricks;6;2;4;16.7
2017;45+;jump;4;1;3;25.0
2017;55+;slalom;10;1;9;10.0
2017;55+;tricks;3;0;3;33.3
2017;55+;jump;2;0;2;50.0
2017;65+;slalom;1;0;1;100.0
2017;65+;tricks;1;0;1;100.0
2017;65+;jump;0;0;0;
2018;U10;slalom;3;1;2;33.3
2018;U10;tricks;3;1;2;33.3
2018;U10;jump;3;1;2;33.3
2018;U12;slalom;7;4;3;14.3
2018;U12;tricks;8;5;3;12.5
2018;U12;jump;6;3;3;16.7
2018;U14;slalom;9;4;5;11.1
2018;U14;tricks;9;4;5;11.1
2018;U14;jump;7;2;5;14.3
2018;U17;slalom;15;6;9;6.7
2018;U17;tricks;9;4;5;11.1
2018;U17;jump;10;3;7;10.0
2018;U21;slalom;10;5;5;10.0
2018;U21;tricks;3;2;1;33.3
2018;U21;jump;4;2;2;25.0
2018;OPEN;slalom;9;5;4;11.1
2018;OPEN;tricks;8;5;3;12.5
2018;OPEN;jump;5;3;2;20.0
2018;35+;slalom;4;1;3;25.0
2018;35+;tricks;3;1;2;33.3
2018;35+;jump;1;0;1;100.0
2018;45+;slalom;10;3;7;10.0
2018;45+;tricks;4;2;2;25.0
2018;45+;jump;3;0;3;33.3
2018;55+;slalom;18;1;17;5.6
2018;55+;tricks;7;0;7;14.3
2018;55+;jump;3;0;3;33.3
2018;65+;slalom;6;0;6;16.7
2018;65+;tricks;2;0;2;50.0
2018;65+;jump;0;0;0;
2019;U10;slalom;3;2;1;33.3
2019;U10;tricks;3;2;1;33.3
2019;U10;jump;2;1;1;50.0
2019;U12;slalom;8;3;5;12.5
2019;U12;tricks;7;3;4;14.3
2019;U12;jump;6;2;4;16.7
2019;U14;slalom;8;3;5;12.5
2019;U14;tricks;7;3;4;14.3
2019;U14;jump;7;3;4;14.3
2019;U17;slalom;15;6;9;6.7
2019;U17;tricks;13;6;7;7.7
2019;U17;jump;11;4;7;9.1
2019;U21;slalom;11;5;6;9.1
2019;U21;tricks;5;2;3;20.0
2019;U21;jump;5;2;3;20.0
2019;OPEN;slalom;19;6;13;5.3
2019;OPEN;tricks;10;4;6;10.0
2019;OPEN;jump;9;3;6;11.1
2019;35+;slalom;3;1;2;33.3
2019;35+;tricks;3;1;2;33.3
2019;35+;jump;2;1;1;50.0
2019;45+;slalom;8;1;7;12.5
2019;45+;tricks;3;1;2;33.3
2019;45+;jump;3;0;3;33.3
2019;55+;slalom;10;0;10;10.0
2019;55+;tricks;3;0;3;33.3
2019;55+;jump;2;0;2;50.0
2019;65+;slalom;3;0;3;33.3
2019;65+;tricks;2;0;2;50.0
2019;65+;jump;0;0;0;
2020;U10;slalom;0;0;0;
2020;U10;tricks;2;1;1;50.0
2020;U10;jump;1;1;0;100.0
2020;U12;slalom;0;0;0;
2020;U12;tricks;4;0;4;25.0
2020;U12;jump;3;0;3;33.3
2020;U14;slalom;9;5;4;11.1
2020;U14;tricks;8;5;3;12.5
2020;U14;jump;6;3;3;16.7
2020;U17;slalom;14;5;9;7.1
2020;U17;tricks;10;3;7;10.0
2020;U17;jump;10;3;7;10.0
2020;U21;slalom;11;5;6;9.1
2020;U21;tricks;5;4;1;20.0
2020;U21;jump;8;4;4;12.5
2020;OPEN;slalom;14;6;8;7.1
2020;OPEN;tricks;9;5;4;11.1
2020;OPEN;jump;7;3;4;14.3
2020;35+;slalom;3;0;3;33.3
2020;35+;tricks;1;1;0;100.0
2020;35+;jump;1;0;1;100.0
2020;45+;slalom;6;1;5;16.7
2020;45+;tricks;0;0;0;
2020;45+;jump;0;0;0;
2020;55+;slalom;8;0;8;12.5
2020;55+;tricks;1;0;1;100.0
2020;55+;jump;0;0;0;
2020;65+;slalom;0;0;0;
2020;65+;tricks;1;0;1;100.0
2020;65+;jump;0;0;0;
2020;70+;slalom;1;0;1;100.0
2020;70+;tricks;0;0;0;
2020;70+;jump;0;0;0;
2021;U10;slalom;2;1;1;50.0
2021;U10;tricks;2;1;1;50.0
2021;U10;jump;1;0;1;100.0
2021;U12;slalom;6;1;5;16.7
2021;U12;tricks;5;1;4;20.0
2021;U12;jump;3;1;2;33.3
2021;U14;slalom;11;3;8;9.1
2021;U14;tricks;9;3;6;11.1
2021;U14;jump;7;2;5;14.3
2021;U17;slalom;11;6;5;9.1
2021;U17;tricks;9;5;4;11.1
2021;U17;jump;8;4;4;12.5
2021;U21;slalom;10;4;6;10.0
2021;U21;tricks;4;3;1;25.0
2021;U21;jump;7;3;4;14.3
2021;OPEN;slalom;11;5;6;9.1
2021;OPEN;tricks;10;5;5;10.0
2021;OPEN;jump;0;0;0;
2021;35+;slalom;0;0;0;
2021;35+;tricks;2;0;2;50.0
2021;35+;jump;2;0;2;50.0
2021;45+;slalom;5;5;0;20.0
2021;45+;tricks;2;2;0;50.0
2021;45+;jump;2;1;1;50.0
2021;55+;slalom;3;3;0;33.3
2021;55+;tricks;5;0;5;20.0
2021;55+;jump;3;0;3;33.3
2021;65+;slalom;0;0;0;
2021;65+;tricks;2;0;2;50.0
2021;65+;jump;0;0;0;
2022;U10;slalom;1;0;1;100.0
2022;U10;tricks;1;0;1;100.0
2022;U10;jump;0;0;0;
2022;U12;slalom;4;4;0;25.0
2022;U12;tricks;4;4;0;25.0
2022;U12;jump;2;2;0;50.0
2022;U14;slalom;8;1;7;12.5
2022;U14;tricks;6;0;6;16.7
2022;U14;jump;4;0;4;25.0
2022;U17;slalom;6;4;2;16.7
2022;U17;tricks;4;3;1;25.0
2022;U17;jump;3;3;0;33.3
2022;U21;slalom;0;0;0;
2022;U21;tricks;0;0;0;
2022;U21;jump;0;0;0;
2022;OPEN;slalom;27;9;18;3.7
2022;OPEN;tricks;13;5;8;7.7
2022;OPEN;jump;14;6;8;7.1
2022;35+;slalom;6;2;4;16.7
2022;35+;tricks;4;1;3;25.0
2022;35+;jump;4;1;3;25.0
2022;45+;slalom;14;3;11;7.1
2022;45+;tricks;4;1;3;25.0
2022;45+;jump;2;0;2;50.0
2022;55+;slalom;15;2;13;6.7
2022;55+;tricks;5;0;5;20.0
2022;55+;jump;3;0;3;33.3
2022;65+;slalom;2;0;2;50.0
2022;65+;tricks;0;0;0;
2022;65+;jump;0;0;0;
2022;70+;slalom;1;0;1;100.0
2022;70+;tricks;1;0;1;100.0
2022;70+;jump;0;0;0;
2022;75+;slalom;1;0;1;100.0
2022;75+;tricks;1;0;1;100.0
2022;75+;jump;0;0;0;
2023;U10;slalom;3;1;2;33.3
2023;U10;tricks;2;0;2;50.0
2023;U10;jump;0;0;0;
2023;U12;slalom;5;2;3;20.0
2023;U12;tricks;4;2;2;25.0
2023;U12;jump;3;1;2;33.3
2023;U14;slalom;9;4;5;11.1
2023;U14;tricks;8;3;5;12.5
2023;U14;jump;6;3;3;16.7
2023;U17;slalom;13;5;8;7.7
2023;U17;tricks;7;3;4;14.3
2023;U17;jump;5;1;4;20.0
2023;U21;slalom;12;4;8;8.3
2023;U21;tricks;8;4;4;12.5
2023;U21;jump;10;4;6;10.0
2023;OPEN;slalom;17;7;10;5.9
2023;OPEN;tricks;9;5;4;11.1
2023;OPEN;jump;6;3;3;16.7
2023;35+;slalom;8;1;7;12.5
2023;35+;tricks;6;1;5;16.7
2023;35+;jump;4;0;4;25.0
2023;45+;slalom;11;1;10;9.1
2023;45+;tricks;3;1;2;33.3
2023;45+;jump;2;0;2;50.0
2023;55+;slalom;15;5;10;6.7
2023;55+;tricks;4;1;3;25.0
2023;55+;jump;2;1;1;50.0
2023;65+;slalom;1;0;1;100.0
2023;65+;tricks;1;0;1;100.0
2023;65+;jump;0;0;0;
2023;70+;slalom;2;0;2;50.0
2023;70+;tricks;1;0;1;100.0
2023;70+;jump;0;0;0;
2023;75+;slalom;1;0;1;100.0
2023;75+;tricks;1;0;1;100.0
2023;75+;jump;0;0;0;
2024;U10;slalom;3;2;1;33.3
2024;U10;tricks;1;0;1;100.0
2024;U10;jump;0;0;0;
2024;U12;slalom;3;1;2;33.3
2024;U12;tricks;3;1;2;33.3
2024;U12;jump;1;0;1;100.0
2024;U14;slalom;10;6;4;10.0
2024;U14;tricks;8;4;4;12.5
2024;U14;jump;6;3;3;16.7
2024;U17;slalom;8;1;7;12.5
2024;U17;tricks;7;0;7;14.3
2024;U17;jump;5;0;5;20.0
2024;U21;slalom;4;2;2;25.0
2024;U21;tricks;4;3;1;25.0
2024;U21;jump;4;2;2;25.0
2024;OPEN;slalom;12;8;4;8.3
2024;OPEN;tricks;8;5;3;12.5
2024;OPEN;jump;6;3;3;16.7
2024;35+;slalom;8;2;6;12.5
2024;35+;tricks;5;1;4;20.0
2024;35+;jump;5;0;5;20.0
2024;45+;slalom;13;3;10;7.7
2024;45+;tricks;7;3;4;14.3
2024;45+;jump;7;2;5;14.3
2024;55+;slalom;9;3;6;11.1
2024;55+;tricks;3;0;3;33.3
2024;55+;jump;2;0;2;50.0
2024;65+;slalom;2;0;2;50.0
2024;65+;tricks;1;0;1;100.0
2024;65+;jump;0;0;0;
2024;70+;slalom;2;0;2;50.0
2024;70+;tricks;1;0;1;100.0
2024;70+;jump;0;0;0;
2024;75+;slalom;2;0;2;50.0
2024;75+;tricks;1;0;1;100.0
2024;75+;jump;0;0;0;
2025;U10;slalom;2;1;1;50.0
2025;U10;tricks;0;0;0;
2025;U10;jump;0;0;0;
2025;U12;slalom;6;3;3;16.7
2025;U12;tricks;6;3;3;16.7
2025;U12;jump;4;1;3;25.0
2025;U14;slalom;5;2;3;20.0
2025;U14;tricks;3;1;2;33.3
2025;U14;jump;3;1;2;33.3
2025;U17;slalom;10;3;7;10.0
2025;U17;tricks;7;2;5;14.3
2025;U17;jump;6;2;4;16.7
2025;U21;slalom;6;0;6;16.7
2025;U21;tricks;4;0;4;25.0
2025;U21;jump;3;0;3;33.3
2025;OPEN;slalom;5;0;5;20.0
2025;OPEN;tricks;4;0;4;25.0
2025;OPEN;jump;3;0;3;33.3
2025;35+;slalom;10;3;7;10.0
2025;35+;tricks;5;1;4;20.0
2025;35+;jump;5;1;4;20.0
2025;45+;slalom;12;1;11;8.3
2025;45+;tricks;8;1;7;12.5
2025;45+;jump;7;1;6;14.3
2025;55+;slalom;12;4;8;8.3
2025;55+;tricks;2;0;2;50.0
2025;55+;jump;1;0;1;100.0
2025;65+;slalom;5;2;3;20.0
2025;65+;tricks;0;0;0;
2025;65+;jump;0;0;0;
2025;70+;slalom;3;0;3;33.3
2025;70+;tricks;0;0;0;
2025;70+;jump;0;0;0;
2025;75+;slalom;1;0;1;100.0
2025;75+;tricks;0;0;0;
2025;75+;jump;0;0;0;
2026;U8;slalom;0;0;0;
2026;U8;tricks;1;0;1;100.0
2026;U8;jump;0;0;0;
2026;U10;slalom;5;3;2;20.0
2026;U10;tricks;4;3;1;25.0
2026;U10;jump;1;0;1;100.0
2026;U12;slalom;9;3;6;11.1
2026;U12;tricks;8;3;5;12.5
2026;U12;jump;5;1;4;20.0
2026;U14;slalom;6;2;4;16.7
2026;U14;tricks;2;1;1;50.0
2026;U14;jump;2;1;1;50.0
2026;U17;slalom;11;5;6;9.1
2026;U17;tricks;8;4;4;12.5
2026;U17;jump;6;3;3;16.7
2026;U21;slalom;7;0;7;14.3
2026;U21;tricks;6;1;5;16.7
2026;U21;jump;4;0;4;25.0
2026;OPEN;slalom;10;5;5;10.0
2026;OPEN;tricks;6;5;1;16.7
2026;OPEN;jump;4;3;1;25.0
2026;35+;slalom;3;3;0;33.3
2026;35+;tricks;0;0;0;
2026;35+;jump;0;0;0;
2026;45+;slalom;3;1;2;33.3
2026;45+;tricks;0;0;0;
2026;45+;jump;0;0;0;
2026;55+;slalom;3;0;3;33.3
2026;55+;tricks;1;0;1;100.0
2026;55+;jump;0;0;0;
2026;65+;slalom;3;0;3;33.3
2026;65+;tricks;0;0;0;
2026;65+;jump;0;0;0;
2026;75+;slalom;1;0;1;100.0
2026;75+;tricks;1;0;1;100.0
2026;75+;jump;0;0;0;
