Year;CompetitionCode;ChampionshipBlock;ApprovedAthletes;AthletesWithAnyClassification;FullConversionAthletes;PartialConversionAthletes;NoClassificationAthletes;AthleteClassificationRatePercent;FullConversionRatePercent;ApprovedFieldEntries;MatchedApprovedFieldEntries;MissingApprovedFieldEntries;FieldConversionRatePercent
2023;23FRA017;RELEVES;23;23;23;0;0;100.0;100.0;63;63;0;100.0
2023;23FRA018;U21_OPEN;31;30;30;0;1;96.8;96.8;73;69;4;94.5
2023;23FRA023;SENIOR;42;40;36;4;2;95.2;85.7;77;68;9;88.3
2024;24FRA026;RELEVES;21;21;21;0;0;100.0;100.0;63;63;0;100.0
2024;24FRA027;U21_OPEN;22;20;20;0;2;90.9;90.9;46;44;2;95.7
2024;24FRA034;SENIOR;40;40;38;2;0;100.0;95.0;84;80;4;95.2
2025;25FRA016;RELEVES;22;22;21;1;0;100.0;95.5;64;62;2;96.9
2025;25FRA018;SENIOR;32;32;32;0;0;100.0;100.0;70;70;0;100.0
2026;26FRA020;RELEVES;33;33;33;0;0;100.0;100.0;77;77;0;100.0
2026;26FRA021;U21_OPEN;19;19;18;1;0;100.0;94.7;45;44;1;97.8
2026;26FRA041;SENIOR;14;14;14;0;0;100.0;100.0;15;15;0;100.0
