Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;65+;65;M;69;1;SLALOM;FRA|1956|BALLOT GERARD;BALLOT Gerard;FRA;1;65+ M (69) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;55;F;60;1;SLALOM;FRA|1965|COITOU ANNIE;COITOU Annie;FRA;1;55+ F (60) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;55;F;59;1;SLALOM;FRA|1966|FRIBOURG LORRAINE;FRIBOURG Lorraine;FRA;1;55+ F (59) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;55;F;59;1;FIGURES;FRA|1966|FRIBOURG LORRAINE;FRIBOURG Lorraine;FRA;1;55+ F (59) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;55;F;59;1;SAUT;FRA|1966|FRIBOURG LORRAINE;FRIBOURG Lorraine;FRA;1;55+ F (59) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;55;F;59;1;COMBINE;FRA|1966|FRIBOURG LORRAINE;FRIBOURG Lorraine;FRA;1;55+ F (59) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;35+;35;M;47;1;SLALOM;FRA|1978|HUGONIN ALEXANDRE;HUGONIN Alexandre;FRA;1;35+ M (47) Div 1
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;35+;35;M;47;1;FIGURES;FRA|1978|HUGONIN ALEXANDRE;HUGONIN Alexandre;FRA;1;35+ M (47) Div 1
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;JUNIOR;U17;17;F;15;;SLALOM;FRA|2011|CORTES LILOU;CORTES Lilou;FRA;1;-17 F (15)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;U21;U21;21;M;21;;SLALOM;FRA|2005|FAUTREL SEBASTIEN;FAUTREL Sébastien;FRA;1;-21 M (21)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;OPEN;OPEN;30;F;27;;SLALOM;FRA|1999|MIERMONT LEA;MIERMONT Lea;FRA;1;Open F (27)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;JUNIOR;U17;17;M;16;;SLALOM;FRA|2010|SAUNIER THIMOTE;SAUNIER Thimote;FRA;1;-17 M (16)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;U21;U21;21;M;21;;SLALOM;FRA|2005|SOUCI BENJAMIN;SOUCI Benjamin;FRA;1;-21 M (21)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;RELEVES;U12;12;F;12;;SLALOM;ESP|2014|SUAREZ RIESCO LOURDES;SUAREZ RIESCO Lourdes;ESP;0;-12 F (12)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;RELEVES;U14;14;M;13;;SLALOM;ESP|2013|SUAREZ RIESCO PEDRO;SUAREZ RIESCO Pedro;ESP;0;-14 M (13)
2026;26FRA041;Championnat de France SENIOR 2026;SENIOR;0;JUNIOR;U17;17;F;15;;SLALOM;ESP|2011|SUAREZ RIESCO SIMONETA;SUAREZ RIESCO Simoneta;ESP;0;-17 F (15)
