Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;TotalApproved;FrenchApproved;ForeignApproved;FrenchSharePercent;UniqueAthletes;UniqueFrench
2023;23FRA002;1-2 Jul 2023;LE PLAN D'EAU 3D JUILLET;INTER;43;25;18;58.1;43;25
2023;23FRA012;14-15 Oct 2023;Freezing Magic Cup;INTER;24;19;5;79.2;24;19
2023;23FRA017;14-16 Jul 2023;Championnat de France RELEVE 2023;NatCH;30;23;7;76.7;30;23
2023;23FRA023;15-16 Jul 2023;Championnat de France SENIOR 2023;NatCH;43;42;1;97.7;43;42
2023;23FRA024;16-17 Sep 2023;Magic Ski Time;INTER;18;11;7;61.1;18;11
2023;23FRA006;17-18 Jun 2023;Bordeaux Slalom Cup;INTER;31;22;9;71.0;31;22
2023;23FRA010;17-18 Jun 2023;THE FUNGLISS PRO AM;INTER;46;18;28;39.1;46;18
2023;23FRA018;18-19 Jul 2023;Championnat de France 2023 - U21 + OPEN;NatCH;35;31;4;88.6;35;31
2023;23FRA008;2-3 Sep 2023;AQUACUP;INTER;25;21;4;84.0;25;21
2023;23FRA011;20-21 May 2023;Magic Cup;INTER;33;8;25;24.2;33;8
2023;23FRA020;23-24 Sep 2023;Championnat de France INTERLIGUES 2023;NatCH;18;18;0;100.0;18;18
2023;23FRA003;24-25 Jun 2023;Ski Caraibes Slalom CUP 2023;INTER;34;19;15;55.9;34;19
2023;23FRA013;26-27 Aug 2023;Coupe du pays de MONTBELIARD;INTER;26;20;6;76.9;26;20
2023;23FRA033;26-27 Aug 2023;Memorial M.Naudinat Ch de Ligue NAQU;INTER;33;32;1;97.0;33;32
2023;23FRA035;26-27 Aug 2023;Championnat de ligue OCC Ski Classique;INTER;22;22;0;100.0;22;22
2023;23FRA019;28-30 Jul 2023;Coupe de Meuzac;INTER;44;37;7;84.1;44;37
2023;23FRA034;29-30 Jul 2023;Championnats du Mont de Laroche;NAT;11;10;1;90.9;11;10
2023;23FRA001;30 Jun - 2 Jul 2023;MALIBU OPEN LACANAU;INTER;50;22;28;44.0;50;22
2023;23FRA016;5-6 Aug 2023;Austin's Cup 23;INTER;39;14;25;35.9;39;14
2023;23FRA025;6-7 Jul 2023;Magic Trophy;INTER;18;10;8;55.6;18;10
2023;23FRA007;7-8 Oct 2023;Baurech Classic;INTER;47;33;14;70.2;47;33
2023;23FRA004;8-9 Jul 2023;Ski Caraibes 3D- Championnats de Ligue AURA 2023;INTER;35;13;22;37.1;35;13
2023;23FRA015;8-9 Jul 2023;Vinney's Cup 23;INTER;37;13;24;35.1;37;13
2023;23FRA027;8-9 Jul 2023;Championnats de Ligue Ile de France;INTER;27;22;5;81.5;27;22
2023;23FRA014;9-10 Sep 2023;LACANAU SKI CLASSIC;INTER;50;35;15;70.0;50;35
2023;23FRA026;9-10 Sep 2023;Viry Lake's challenge #5;INTER;35;23;12;65.7;35;23
